id,name,agency_name,position_title_1,position_title_2,position_title_3,grade_level,start_date,end_date,former_org_name,former_org_role,former_org_description,financial_disclosure_url,departed,story_text,story_block,source_url
1,Mark T. Esper,Defense,Secretary of the Army,,,,11/16/17,,Raytheon Company,compensation_source,Responsible for company interactions with members of Congress and their staff at the Federal level and with all state and local elected officials and their staff.,https://www.documentcloud.org/documents/4387637-Mark-T-Esper-Financial-Disclosure.html,,"Now part of government relations for defense contractor Raytheon, previously lobbying the Department of Defense and the National Security Agency.",,Warren Report Card
2,Gilbert Kaplan,Commerce,Under Secretary for International Trade,,,,,,King & Spalding LLP,compensation_source,Legal Services,https://www.documentcloud.org/documents/4387599-Gilbert-Kaplan-Financial-Disclosure.html,,"Parter for law firm King & Spaulding, which had lobbied on paper imports and steel trade issues.",,Warren Report Card
3,Gilbert Kaplan,Commerce,Under Secretary for International Trade,,,,,,"Appvion, Inc.",compensation_source,International Trade Legal Advice and International Trade Cases,https://www.documentcloud.org/documents/4387599-Gilbert-Kaplan-Financial-Disclosure.html,,"Parter for law firm King & Spaulding, which had lobbied on paper imports and steel trade issues.",,Warren Report Card
4,Gilbert Kaplan,Commerce,Under Secretary for International Trade,,,,,,Coalition for Fair Paper Imports,compensation_source,International Trade Legal Advice and International Trade Cases,https://www.documentcloud.org/documents/4387599-Gilbert-Kaplan-Financial-Disclosure.html,,"Parter for law firm King & Spaulding, which had lobbied on paper imports and steel trade issues.",,Warren Report Card
11,Richard Ashooh,Commerce,Assistant Secretary for Export Enforcement,,,,8/3/17,,University System of New Hampshire,compensation_source,Responsible for USNH partnerships with corporate and other external entities,https://www.documentcloud.org/documents/4387597-Richard-Ashooh-Financial-Disclosure.html,,,,Warren Report Card
12,Richard Ashooh,Commerce,Assistant Secretary for Export Enforcement,,,,8/3/17,,University of New Hampshire Law School,compensation_source,"Responsible for the operations of the Rudman Center, a public policy institute of UNH Law School",https://www.documentcloud.org/documents/4387597-Richard-Ashooh-Financial-Disclosure.html,,,,Warren Report Card
13,Richard Ashooh,Commerce,Assistant Secretary for Export Enforcement,,,,8/3/17,,BAE Systems,compensation_source,Strategist for the Electronics Sector of BAE Systems,https://www.documentcloud.org/documents/4387597-Richard-Ashooh-Financial-Disclosure.html,,,,Warren Report Card
14,David G. Ehrhart,Defense,General Counsel of the Air Force,,,,,,Lockheed Martin Aeronautics Company,compensation_source,Associate General Counsel,https://www.documentcloud.org/documents/4388370-David-G-Ehrhart-Financial-Disclosure.html,,Former counsel for defense firm Lockheed Martin. Was the lead counsel for the company's F-35 fighter jet program.,,Warren Report Card
15,Patrick Shanahan,Defense,Deputy Secretary,,,,7/18/17,,Boeing Company,compensation_source,Oversight of the Company's manufacturing operations and supplier management functions.,https://www.documentcloud.org/documents/4388450-Patrick-Shanahan-Financial-Disclosure.html,,"Was a senior vice president at Boeing, one of the largest recipients of federal defense contracts.",,Warren Report Card
16,Dawn DeBerry Stump,Commodity Futures Trading Commission,Commissioner,,,,,,Stump Strategic,compensation_source,"Managed day to day business operations, client engagement, and business marketing opportunities.",https://www.documentcloud.org/documents/4387615-Dawn-DeBerry-Stump-Financial-Disclosure.html,,"Lobbied for and worked at Futures Industry Association, a group representing futures commission merchants.",,Warren Report Card
17,Dawn DeBerry Stump,Commodity Futures Trading Commission,Commissioner,,,,,,Futures Industry Association,compensation_source,"Managed regional advisory board, coalition building efforts, and strategic public policy engagement.",https://www.documentcloud.org/documents/4387615-Dawn-DeBerry-Stump-Financial-Disclosure.html,,"Lobbied for and worked at Futures Industry Association, a group representing futures commission merchants.",,Warren Report Card
18,Dawn DeBerry Stump,Commodity Futures Trading Commission,Commissioner,,,,,,Futures Industry Association (client of Stump Strategic),compensation_source,Consultant,https://www.documentcloud.org/documents/4387615-Dawn-DeBerry-Stump-Financial-Disclosure.html,,"Lobbied for and worked at Futures Industry Association, a group representing futures commission merchants.",,Warren Report Card
19,Brent James McIntosh,Treasury,General Counsel,,,,8/3/17,,Sullivan & Cromwell LLP,compensation_source,Legal services,https://www.documentcloud.org/documents/4388300-Brent-James-McIntosh-Financial-Disclosure.html,,Partner at law firm that represent financial institutions such as Barclays and JPMorgan Chase.,,Warren Report Card
20,Brent James McIntosh,Treasury,General Counsel,,,,8/3/17,,Australia Pacific LNG Proprietary Ltd (client of Sullivan & Cromwell LLP),compensation_source,Legal services,https://www.documentcloud.org/documents/4388300-Brent-James-McIntosh-Financial-Disclosure.html,,Partner at law firm that represent financial institutions such as Barclays and JPMorgan Chase.,,Warren Report Card
21,Brent James McIntosh,Treasury,General Counsel,,,,8/3/17,,Bank Hapoalim (client of Sullivan & Cromwell LLP),compensation_source,Legal services,https://www.documentcloud.org/documents/4388300-Brent-James-McIntosh-Financial-Disclosure.html,,Partner at law firm that represent financial institutions such as Barclays and JPMorgan Chase.,,Warren Report Card
44,Thomas L. Carter,State,U.S. Representative on the Council of the International Civil Aviation Organization,,,,11/2/17,,Elbit Systems of America,compensation_source,"Served as Elbit Systems of America's principal contact in Washington, DC for overall interface with the US government.",https://www.documentcloud.org/documents/4388254-Thomas-L-Carter-Financial-Disclosure.html,,Lobbied for defense contractor Elbit Systems. Has since continued to work as a national security consultant.,,Warren Report Card
45,David Malpass,Treasury,Under Secretary for International Affairs,,,,8/3/17,,Encima Global LLC,compensation_source,Provides global macro economic research,https://www.documentcloud.org/documents/4388301-David-Malpass-Financial-Disclosure.html,,"President at Encima Global, a research firm with Wall Streets clients. Malpass served as chief economist at Bear Stearns before the 2008 financial crash.",,Warren Report Card
46,David Malpass,Treasury,Under Secretary for International Affairs,,,,8/3/17,,New Mountain Finance Corp.,compensation_source,Directors fees,https://www.documentcloud.org/documents/4388301-David-Malpass-Financial-Disclosure.html,,"President at Encima Global, a research firm with Wall Streets clients. Malpass served as chief economist at Bear Stearns before the 2008 financial crash.",,Warren Report Card
47,David Malpass,Treasury,Under Secretary for International Affairs,,,,8/3/17,,Forbes Media LLC,compensation_source,Write columns,https://www.documentcloud.org/documents/4388301-David-Malpass-Financial-Disclosure.html,,"President at Encima Global, a research firm with Wall Streets clients. Malpass served as chief economist at Bear Stearns before the 2008 financial crash.",,Warren Report Card
108,Jay Clayton,Securities and Exchange Commission,Chairman,,,,5/2/17,,Sullivan & Cromwell LLP,compensation_source,Legal services,https://www.documentcloud.org/documents/4388156-Jay-Clayton-Financial-Disclosure.html,,"Former partner at Sullivan & Cromwell, which has represented Wall Street clients such as Goldman Sachs, Bear Stearns, and Deutsche Bank.",,Warren Report Card
